line_id,order_id,order_date,region,city,category,quantity,unit_price,discount,sales,profit,marketing_cost,category_missing,profit_missing,category_display,sales_outlier,month
L00001,DH0008,2026-06-17,Miền Nam,TP.HCM,Gia dụng,6,29000,0.0,174000,,45000,False,True,Gia dụng,False,2026-06
L00002,DH0132,2026-04-17,Miền Bắc,Hà Nội,Đồ uống,3,52000,0.15,133000,23000.0,58000,False,False,Đồ uống,False,2026-04
L00003,DH0100,2026-04-03,Miền Bắc,Hà Nội,Văn phòng phẩm,2,53000,0.1,95000,40000.0,55000,False,False,Văn phòng phẩm,False,2026-04
L00004,DH0264,2026-05-29,Miền Nam,TP.HCM,Văn phòng phẩm,4,55000,0.05,209000,57000.0,15000,False,False,Văn phòng phẩm,False,2026-05
L00005,DH0497,2026-05-04,Miền Trung,Đà Nẵng,Thực phẩm,1,24000,0.05,23000,4000.0,45000,False,False,Thực phẩm,False,2026-05
L00006,DH0434,2026-05-13,Miền Bắc,Hà Nội,Thực phẩm,2,65000,0.05,124000,27000.0,29000,False,False,Thực phẩm,False,2026-05
L00007,DH0423,2026-04-08,Miền Nam,TP.HCM,Thực phẩm,2,109000,0.1,196000,76000.0,67000,False,False,Thực phẩm,False,2026-04
L00008,DH0357,2026-05-04,Miền Nam,TP.HCM,Thực phẩm,6,49000,0.0,294000,74000.0,55000,False,False,Thực phẩm,False,2026-05
L00009,DH0453,2026-05-29,Miền Bắc,Hải Phòng,Đồ uống,2,85000,0.1,153000,50000.0,14000,False,False,Đồ uống,False,2026-05
L00010,DH0327,2026-05-03,Miền Bắc,Hà Nội,Đồ uống,3,49000,0.0,147000,54000.0,28000,False,False,Đồ uống,False,2026-05
L00011,DH0475,2026-06-15,Miền Nam,Cần Thơ,Văn phòng phẩm,5,45000,0.0,225000,49000.0,35000,False,False,Văn phòng phẩm,False,2026-06
L00012,DH0116,2026-06-11,Miền Nam,Cần Thơ,Gia dụng,1,120000,0.1,108000,43000.0,68000,False,False,Gia dụng,False,2026-06
